"name","street","city","zip","email"
"Matrika Vinica","Cesta slobody 466/44","Vinica",99128,"matrika@vinica.sk"
"Obecný úrad Dulovo","Dulovo  ","Dulovo",98021,"oudulovo@stonline.sk"
"Obecný úrad Oslany","Nám. slobody 2","Oslany",97247,"ocu@oslany.sk"
"Obecný úrad Vyšný Skálnik","č. 43","Vyšný Skálnik",98052,"ocu.vysnyskalnik@fairlight.sk"
"Obecný úrad Veľký Klíž","č. 156","Veľký Klíž",95845,"obec@velkykliz.sk, obecvelkykliz@stonline.sk"
"Obecný úrad Hlivištia","č. 73","Hlivištia",7301,"hlivistia@lekosonline.sk"
"Obecný úrad Košické Oľšany","č. 118","Košické Oľšany",4442,"obec_kosicke_olsany@stonline.sk"
"Obecný úrad Orešany","č. 79","Orešany",95606,"oresany@wircom.sk"
"Obecný úrad Čata","Hlavná 80","Čata",93563,"cata@nextra.sk"
"Obecný úrad Vieska","č. 38","Vieska",99102,"vieska@stonline.sk"
"Detská fakultná nemocnica v Košiciach","Trieda SNP 1","Košice - Západ",4011,"riaditelstvo@dnkosice.sk"
"Obecný úrad Vojtovce","č. 1","Vojtovce",9101,"obecvojtovce@stonline.sk"
"Matrika Horné Otrokovce","č. 146","Horné Otrokovce",92062,"ocu.h.otrokovce@nextra.sk"
"Matrika Martovce","č. 14","Martovce",94701,"ocu@martovce.sk"
"Matrika Bohdanovce nad Trnavou","č. 268","Bohdanovce nad Trnavou",91909,"ocubohda@stonline.sk"
"Obecný úrad Plášťovce","č. 345","Plášťovce",93582,"ouplastovce@orangemail.sk"
"Obecný úrad Horné Pršany","č. 11","Horné Pršany",97405,"obechorneprsany@netlink.sk, amiartusova@netlink.sk"
"Obecný úrad Čukalovce","č. 59","Čukalovce",6735,"obeccukalovce@azet.sk"
"Miestny úrad Bratislava - Vajnory","Roľnícka 109","Bratislava - Vajnory",83107,"vajnory@vajnory.sk"
"Obecný úrad Prosiek","č. 57","Prosiek",3223,"obec@prosiek.sk"
"Obecný úrad Tovarnianska Polianka","č. 25","Tovarnianska Polianka",9401,"tovarianskapolianka@thelocalchannel.co.uk"
"Obecný úrad Rudina","č. 442","Rudina",2331,"sekretariat@rudina.sk"
"Matrika Skýcov","Hlavná 5","Skýcov",95185,"ocu.skycov@zoznam.sk"
"Obecný úrad Bodiná","č. 102","Bodiná",1815,"obecbodina@centrum.sk"
"Obecný úrad Andrejová","č. 39","Andrejová",8637,"obecandrejova@stonline.sk"
"Obecný úrad Čičava","č. 26","Čičava",9301,"obeccicava@stonline.sk"
"Obecný úrad Bielovce","č. 98","Bielovce",93574,"bielovce@stonline.sk"
"Miestny úrad Bratislava - Čunovo","Hraničiarska 144","Bratislava - Čunovo",85110,"starostka@mc-cunovo.sk"
"Matrika Ružindol","č. 130","Ružindol",91961,"obec@ruzindol.sk"
"Obecný úrad Slovinky","č. 58","Slovinky",5340,"slovinky@stonline.sk"
"Obecný úrad Porostov","č. 86","Porostov",7255,"porostov@lekosonline.sk"
"Obecný úrad Chmiňany","č. 39","Chmiňany",8233,"obecchminany@stonline.sk"
"Obecný úrad Malý Slavkov","Gerlachovská 52","Malý Slavkov",6001,"oumslavkov@sinet.sk, obec@malyslavkov.sk"
"Obecný úrad Kochanovce","č. 46","Kochanovce",8646,"kochanovce@ocu.sk"
"Obecný úrad Fiľakovské Kováče","č. 275","Fiľakovské Kováče",98601,"filkovace@post.sk"
"Matrika Kremnica","Štefánikovo nám. 1/1","Kremnica",96701,"msu@kremnica.sk"
"Obecný úrad Dolný Štál","Mateja Korvína 676/2 ","Dolný Štál",93010,"alistal1@alistal.sk, nemeth@alistal.sk"
"Matrika Gajary","Hlavná 67","Gajary",90061,"ocu.gajary@max.sknet.sk"
"Obecný úrad Dravce","č. 27","Dravce",5314,"dravce@stonline.sk"
"Obecný úrad Bežovce","č. 184","Bežovce",7253,"oubezovce@lekosonline.sk"
"Obecný úrad Oľšavce","č. 9","Oľšavce",8646,"obecolsavce@centrum.sk"
"Matrika Polomka","Osloboditeľov 15","Polomka",97666,"polomka@bb.psg.sk"
"Obecný úrad Hankovce","č. 1","Hankovce",8646,"obechankovce@stonline.sk"
"Obecný úrad Bohúňovo","č. 72","Bohúňovo",4912,"ou.tiba@stonline.sk"
"Matrika Bešeňov","č. 33","Bešeňov",94141,"obec.besenov@stonline.sk"
"Obecný úrad Šarišský Štiavnik","č. 65","Šarišský Štiavnik",9042,"obecsarisskystiavnik@zoznam.sk"
"Obecný úrad Hul","č. 435","Hul",94144,"hul@hul.sk"
"Obecný úrad Lomná","č. 22","Lomná",2954,"oculomna@euroweb.sk"
"Obecný úrad Podlužany","č. 72","Podlužany",95652,"ocupodluzany@slovanet.sk"
"Obecný úrad Galovany","č. 67","Galovany",3211,"ougalovany@alconet.sk"
"Obecný úrad Vyšný Kubín","Hviezdoslavova 117/5 ","Vyšný Kubín",2601,"obec@vysnykubin.sk"
"Obecný úrad Vinodol","č. 473","Vinodol",95106,"obecvinodol@stonline.sk"
"Mestský úrad Šamorín","Hlavná 37","Šamorín",93101,"mu_samorin@samorin.sk"
"Matrika Hronovce","Levická cesta 3","Hronovce",93561,"hronovce@nextra.sk"
"Matrika ","Komenského 25","Úľany nad Žitavou",94103,"obec.ulany@stonline.sk"
"Obecný úrad Nižné Nemecké","č. 100","Nižné Nemecké",7252,"nizne.nemecke@stonline.sk"
"Colný úrad Čierna nad Tisou","Železničná 212","Čierna nad Tisou",7643,"sscu53@colnasprava.sk"
"Obecný úrad Ladice","č. 219","Ladice",95177,"starosta@ladice.sk"
"Obecný úrad Bešeňov","č. 33","Bešeňov",94141,"obec.besenov@stonline.sk"
"Matrika ","SNP 39","Žemberovce",93502,"ocuzemberovce@stonline.sk"
"Obecný úrad Lomné","č. 82","Lomné",9033,"obeclomne@stonline.sk"
"Obecný úrad Tušice","č. 130","Tušice",7202,"ocutusice@stonline.sk"
"Obecný úrad Nižný Čaj","č. 22","Nižný Čaj",4416,"niznycaj@stonline.sk"
"Obecný úrad Nižný Tvarožec","č. 34","Nižný Tvarožec",8602,"ocuntvarozec@zoznam.sk"
"Matrika Baloň","Hlavná 22","Baloň",93008,"obecbalon@stonline.sk"
"Obecný úrad Oľka","č. 174","Oľka",6704,"obec.olka@mail.t-com.sk"
"Matrika Veľké Ludince","č. 136","Veľké Ludince",93565,"ludince@stonline.sk"
"Obecný úrad Branovo","č. 46","Branovo",94131,"obecbranovo@nextra.sk"
"Obecný úrad Poľany","Hlavná 35","Poľany",7684,"polany@inmail.sk"
"Obecný úrad Holumnica","č. 32","Holumnica",5994,"holumnica@sinet.sk, obec.holimnica@szm.sk"
"Miestny úrad Bratislava - Rusovce","Balkánska 102","Bratislava - Rusovce",85110,"sekretariat@bratislava-rusovce.sk"
"Obecný úrad Rad","Hlavná 95/10","Rad",7637,"ocurad@stonline.sk"
"Obecný úrad Zubné","č. 88","Zubné",6733,"obec.zubne@stonline.sk"
"Obecný úrad Lipovec","Hrabiny 290","Lipovec",3861,"lipovec@stonline.sk"
"Obecný úrad Horovce","č. 94","Horovce",2062,"ocuhorovce@stonline.sk"
"Obecný úrad Trnavá Hora","č. 229","Trnavá Hora",96611,"obectrnavahora@stonline.sk"
"Obecný úrad Kokava nad Rimavicou","Nám. 1. mája ","Kokava nad Rimavicou",98505,"starosta@kokava.sk"
"Obecný úrad Selice","Sovietskej armády 1131","Selice",92572,"obecselice@salamon.sk"
"Obecný úrad Vyšné Valice","č. 244","Vyšné Valice",98252,"obecnyuradvalice@inmail.sk"
"Obecný úrad Poruba","č. 95","Poruba",97211,"obecporuba@stonline.sk"
"Obecný úrad Vislava","č. 61","Vislava",9021,"vislava@centrum.sk"
"Úrad práce, sociálnych vecí a rodiny Bratislava, detašované pracovisko Bratislava IV","Karloveská 2","Bratislava - Karlova Ves",84104,"andrea.kozova@upsvar.sk"
"Obecný úrad Podhorany","Mechenice 51","Podhorany",95146,"obecpodhorany@wircom.sk"
"Obecný úrad Dubová","č. 12","Dubová",9011,"obecdubova@stonline.sk"
"Obecný úrad Šmigovec","č. 38","Šmigovec",6774,"obecsmigovec@stonline.sk"
"Obecný úrad Veľké Raškovce","č. 112","Veľké Raškovce",7675,"obec-velkeraskovce@stonline.sk"
"Obecný úrad Studienka","č. 364","Studienka",90875,"obecstudienka@zoznam.sk"
"Obecný úrad Slovenská Kajňa","č. 4","Slovenská Kajňa",9402,"ocuskajna@stonline.sk"
"Obecný úrad Kamenica","č. 401","Kamenica",8271,"ocukamenica@stonline.sk"
"Obecný úrad Pašková","č. 66","Pašková",4932,"obecpaskova@stonline.sk"
"Obecný úrad Bohdanovce nad Trnavou","č. 268","Bohdanovce nad Trnavou",91909,"ocubohda@stonline.sk"
"Obecný úrad Slanské Nové Mesto","č. 54","Slanské Nové Mesto",4418,"slanome@stonline.sk"
"Obecný úrad Oľšov","č. 29","Oľšov",8276,"obecolsov@profinet-system.sk, olsov@stonline.sk"
"Mestský úrad Hurbanovo","Komárňanská 91","Hurbanovo",94701,"mesto.hurbanovo@stonline.sk"
"Obecný úrad Hrčeľ","Hlavná 200/30","Hrčeľ",7615,"ou.hrcel@trenet.sk"
"Obecný úrad Ľubica","Gen. Svobodu 127","Ľubica",5971,"starosta@obeclubica.sk"
"Obecný úrad Veľké Ludince","č. 136","Veľké Ludince",93565,"obec@ludince.sk"
"Obecný úrad Soľ","č. 161","Soľ",9435,"ocu.sol@slovanet.sk"
"Obecný úrad Brhlovce","č. 156","Brhlovce",93502,"brhlovceocu@stonline.sk"
"Obecný úrad Kružlov","č. 141","Kružlov",8604,"obeckruzlov@mail.t-com.sk, kruzlov@kruzlov.sk"
"Obecný úrad Prievaly","č. 189","Prievaly",90634,"starostka.prievaly@azet.sk, prievaly@nextra.sk"
"Obecný úrad Bystrany","č. 121","Bystrany",5362,"bystrany@post.sk"
"Obecný úrad Korejovce","č. 35","Korejovce",9005,"obec.korejovce@centrum.sk"
"Obecný úrad Krajná Porúbka","č. 28","Krajná Porúbka",9005,"devieer@gmail.com, obec.krajnaporubka@centrum.sk"
"Mestský úrad Vranov nad Topľou","Dr. C. Daxnera 87","Vranov nad Topľou",9316,"msu@vranov.sk"
"Obecný úrad Opatovce","č. 73","Opatovce",91311,"opatovce.ocu@mail.t-com.sk"
"Obecný úrad Komárovce","č. 22","Komárovce",4455,"ocu@komarovce.sk"
"Obecný úrad Turčok","č. 2","Turčok",4918,"obecturcok@stonline.sk"
"Obecný úrad Pastovce","č. 51","Pastovce",93574,"pastovce@pastovce.sk"
"Obecný úrad Výčapy - Opatovce","č. 204","Výčapy - Opatovce",95144,"vycapy-opatovce@stonline.sk"
"Obecný úrad Nová Ves nad Žitavou","Hlavná 76","Nová Ves nad Žitavou",95151,"ou-novavesnzitavou@stonline.sk"
"Obecný úrad Hrabušice","Hlavná 171","Hrabušice",5315,"hrabusice@stonline.sk"
"Matrika Liptovské Sliače","č. 845","Liptovské Sliače",3484,"urad@liptovskesliace.sk"
"Mestský úrad Dunajská Streda","Hlavná 50/16","Dunajská Streda",92901,"sekretariat@dunstreda.sk"
"Obecný úrad Gemerský Jablonec","Hlavná 1","Gemerský Jablonec",98035,"gemerskyjablonec@stonline.sk"
"Mestský úrad Gbely","Nám. slobody 1261","Gbely",90845,"info@gbely.sk"
"Obecný úrad Hermanovce nad Topľou","č. 195","Hermanovce nad Topľou",9434,"ocu.hermanovcent@slovanet.sk"
"Matrika Plavé Vozokany",,"Plavé Vozokany",93569,"plave.vozokany@nextra.sk"
"Obecný úrad Lúčnica nad Žitavou","č. 230","Lúčnica nad Žitavou",95188,"alahela@stonline.sk, obeclucnica@zoznam.sk"
"Matrika Melčice - Lieskové","č. 119","Melčice - Lieskové",91305,"matrika@mel­cice-lieskove.sk"
"Obecný úrad Chanava","M. Tompu 139","Chanava",98044,"ocu.chanava@centrum.sk"
"Matrika Hronec","Stredná 218","Hronec",97645,"ouhronec@stonline.sk"
"Obecný úrad Dolné Vestenice","Záhumenská 74","Dolné Vestenice",97223,"obec.d.vestenice@stonline.sk"
"Obecný úrad Kostoľany nad Hornádom","Košická 34","Kostoľany nad Hornádom",4431,"ocu.kostolany@stonline.sk"
"Obecný úrad Smrečany","č. 80","Smrečany",3205,"smrecany@in.slovanet.sk"
"Obecný úrad Obyce","Cintorínska 229","Obyce",95195,"obec.obyce@stonline.sk"
"Obecný úrad Ostrá Lúka","č. 58","Ostrá Lúka",96261,"ostraluka@stonline.sk"
"Obecný úrad Vysoká nad Uhom","č. 313","Vysoká nad Uhom",7214,"ocuvysoka@vknet.sk"
"Obecný úrad Sútor","č. 34","Sútor",98001,"obecsutor@stonline.sk"
"Obecný úrad Čerenčany","S. Kollára 33","Čerenčany",97901,"obec.cerencany@stonline.sk"
"Obecný úrad Lipovec","č. 32","Lipovec",98023,"lipovec@stonline.sk"
"Obecný úrad Žabokreky","č. 145","Žabokreky",3840,"starosta@zabokreky.sk"
"Obecný úrad Svetlice","č. 60","Svetlice",6716,"ousvetlice@in.slovanet.sk"
"Mestský úrad Bytča","Nám. Slov. Republiky 1/1","Bytča",1401,"msu@bytca.sk"
"Obecný úrad Obišovce","č. 83","Obišovce",4481,"obisovce@slovanet.sk"
"Obecný úrad Semerovo","č. 345","Semerovo",94132,"obec.semerovo@mail.t-com.sk"
"Obecný úrad Pečeňany","č. 105","Pečeňany",95636,"ocu.pecenany@mail.t-com.sk"
"Obecný úrad Závada","č. 152","Závada",95501,"ocuzavada@stonline.sk"
"Obecný úrad Telince","Hlavná 105","Telince",95161,"telince@stonline.sk"
"Obecný úrad Veľká Paka","č. 189","Veľká Paka",93051,"velkapaka@stonline.sk, a.hunka@zoznam.sk"
"Obecný úrad Seč","č. 133","Seč",97226,"ousec@stonline.sk"
"Obecný úrad Šarišská Poruba","č. 34","Šarišská Poruba",8212,"obec.sarporuba@szm.sk"
"Obecný úrad Ladce","Záhradná 151","Ladce",1863,"starostaladce@dcnet.sk"
"Obecný úrad Hronec","Zlievarenská 516","Hronec",97645,"ouhronec@stonline.sk, starostahronec@stonline.sk"
"Matrika Košice - Juh","Smetanova 4","Košice - Juh",4367,"zmrazova@kosicejuh.sk"
"Obecný úrad Forbasy","č. 40","Forbasy",6501,"ouforbasy@stonline.sk"
"Obecný úrad Čečehov","č. 74","Čečehov",7211,"obeccecehov@mail.t-com.sk"
"Matrika Nová Ľubovňa","č. 102","Nová Ľubovňa",6511,"obec@novalubovna.sk"
"Obecný úrad Dekýš","SNP 39","Dekýš",96901,"ocudekys@stonline.sk"
"Obecný úrad Budikovany","č. 51","Budikovany",98023,"ocubudikovany@rsnet.sk"
"Obecný úrad Rochovce","č. 150","Rochovce",4936,"rochovce@stonline.sk, levrinc.stanislav@stonline.sk"
"Obecný úrad Malé Ludince","č. 82","Malé Ludince",93701,"obecmaleludince@orangemail.sk"
"Obecný úrad Krakovany","Nám. sv. Mikuláša 406/4","Krakovany",92202,"krakovany@krakovany.sk, starosta@krakovany.sk"
"Obecný úrad Málaš","č. 14","Málaš",93567,"starosta@malas.sk"
"Mestský úrad Kolárovo","Kostolné nám. 1","Kolárovo",94603,"info@kolarovo.sk"
"Obecný úrad Čamovce","č. 69","Čamovce",98601,"oucamovce@mail.t-com.sk"
"Obecný úrad Zeleneč","Školská 224/5","Zeleneč",91921,"obec@zelenec.sk,  starostka@zelenec.sk"
"Obecný úrad Viničné","Hlavná 206","Viničné",90023,"starosta@vinicne.sk"
"Obecný úrad Marianka","Školská 32","Marianka",90033,"obec@marianka.sk"
"Obecný úrad Kaluža","č. 4","Kaluža",7236,"ou.kaluza@stonline.sk, zastupca@kaluza.sk, info@kaluza.sk"
"Univerzita sv. Cyrila a Metoda, Univerzitná knižnica ","Nám. J. Herdu 2","Trnava",91701,"kniznica@ucm.sk"
"Obecný úrad Liešťany","č. 1","Liešťany",97227,"oculiestany@stonline.sk"
"Obecný úrad Zatín","Hlavná 251/45","Zatín",7653,"ocuzatin@stonline.sk "
"Obecný úrad Michal na Ostrove","č. 132","Michal na Ostrove",93035,"ocumichal@mail.t-com.sk"
"Obecný úrad Hradište","č. 278","Hradište",95854,"ocu@obec-hradiste.sk"
"Colný úrad Žilina, stanica","Krakovská cesta 963/24","Trstená",2801,"cu6092@colnasprava.sk"
"Obecný úrad Bodzianske Lúky","č. 1","Bodzianske Lúky",94614,"bodzianskeluky@gutanet.sk"
"Obecný úrad Tepličky","č. 57","Tepličky",92066,"obec.teplicky@stonline.sk"
"Matrika Veľké Uherce","č. 360","Veľké Uherce",95841,"obecvelkeuherce@stonline.sk"
"Obecný úrad Trstené pri Hornáde","Osloboditeľov 118","Trstené pri Hornáde",4411,"trstene@stonline.sk"
"Mestský úrad Trebišov","M. R. Štefánika 204/862","Trebišov",7501,"trebisov@trebisov.sk"
"Obecný úrad Hrnčiarska Ves","č. 237","Hrnčiarska Ves",98013,"hrnciarskaves@inmail.sk, hrnciarskaves@gemer.org"
"Obecný úrad Medzibrodie nad Oravou","č. 122","Medzibrodie nad Oravou",2601,"jamio1@stonline.sk"
"Obecný úrad Demänovská Dolina","č. 72","Demänovská Dolina",3251,"urad@demanovskadolina.info"
"Obecný úrad Podhájska","č. 322","Podhájska",94148,"oupodhajska@stonline.sk"
"Obecný úrad Bzenica","č. 74","Bzenica",96601,"bzenica@slovanet.sk"
"Obecný úrad Baďan","č. 11","Baďan",96975,"obec.badan@gmail.com"
"Obecný úrad Pichne","č. 27","Pichne",6901,"obecpichne@stonline.sk"
"Obecný úrad Sikenica","č. 232","Sikenica",93701,"sikenica@nextra.sk, starosta@sikenica.sk"
"Obecný úrad Reľov","č. 19","Reľov",5904,"relov@stonline.sk"
"Obecný úrad Hodkovce","č. 275","Hodkovce",4421,"hodkovce@amber.sk"
"Obecný úrad Makov","Ústredie 60","Makov",2356,"makov@makov.sk"
"Obecný úrad Kamenica nad Cirochou","Humenská 555","Kamenica nad Cirochou",6783,"ocu.kamenicanc@stonline.sk"
"Obecný úrad Čaňa","Osloboditeľov 52","Čaňa",4414,"obeccana@centrum.sk"
"Obecný úrad Málinec","č. 474","Málinec",98526,"malinec@stonline.sk"
"Obecný úrad Ďurčiná","č. 77","Ďurčiná",1501,"obecdurcina@stonline.sk"
"Mestská knižnica Piešťany","Školská 19","Piešťany",92101,"kniznica@kios.sk"
"Obecný úrad Raková","Ústredie 140","Raková",2351,"rakova@rakova.sk"
"Obecný úrad Voľa","č. 36","Voľa",7221,"ocuvola@dalnet.sk"
"Obecný úrad Čabiny","č. 141","Čabiny",6702,"cabiny@stonline.sk"
"Matrika Bernolákovo","Hlavná 111","Bernolákovo",90027,"obec@bernolakovo.sk"
"Obecný úrad Plechotice","Hlavná 39/70","Plechotice",7611,"ocu@plechotice.sk"
"Obecný úrad Dunajský Klátov","Kondého ulica 20","Dunajský Klátov",93021,"ocudunklatov@stonline.sk"
"Obecný úrad Stráža","č. 243","Stráža",1304,"oustraza@gmail.com, obecstraza@stonline.sk"
"Mestský úrad Michalovce","Nám. osloboditeľov 30","Michalovce",7101,"msumi@msumi.sk"
"Obecný úrad Šivetice","č. 89","Šivetice",4914,"obecsivetice@stonline.sk"
"Obecný úrad Jestice",,"Jestice",98004,"obec.jestice@stonline.sk"
"Matrika Rudňany","č. 234","Rudňany",5323,"rudnany@spisnet.sk"
"Obecný úrad Vinica","Cesta slobody 466/44","Vinica",99128,"obec@vinica.sk, starosta@vinica.sk"
"Obecný úrad Uloža","č. 76 ","Uloža",5371,"uloza@uloza.sk"
"Sociálna poisťovňa, pobočka Košice","Festivalové nám. 1","Košice - Staré Mesto",4184,"kosicemesto@socpoist.sk"
"Matrika Modra","Dukelská 38","Modra",90001,"primator@modra.sk"
"Obecný úrad Bílkove Humence","č. 169","Bílkove Humence",90877,"bilkovehumence@seznam.cz, ou.b.humence@bmservis.sk"
"Matrika Dubovce ","č. 175","Dubovce ",90862,"oudubovce@dubovce.sk"
"Matrika Levoča","Nám. Majstra Pavla 4","Levoča",5401,"mesto@levoca.sk"
"Obecný úrad Dolná Krupá","L. van Beethovena 139/1","Dolná Krupá",91965,"obec@dolnakrupa.com, starosta@dolnakrupa.com"
"Obecný úrad Pohorelá","Nová ulica 392","Pohorelá",97669,"obec@pohorela.sk, starosta@pohorela.sk"
"Obecný úrad Zohor","Dolná 46","Zohor",90051,"obecnyurad@obeczohor.sk"
"Mestský úrad Námestovo","Ul. Cyrila a Metoda 329/6","Námestovo",2901,"sekreteriat@namestovo.sk"
"Obecný úrad Šrobárová","Školská 45","Šrobárová",94632,"obec.srobarova@stonline.sk"
"Obecný úrad Ožďany","č. 64","Ožďany",98011,"obecozdany@centrum.sk"
"Obecný úrad Chvojnica","č. 24","Chvojnica",97213,"starostka@chvojnica.eu"
"Obecný úrad Čirč","č. 208","Čirč",6542,"obeccirc@stonline.sk"
"Colný úrad Košice","Jiskrova 5","Košice - Staré Mesto",4002,"info.cuke@colnasprava.sk"
"Obecný úrad Práznovce","Hviezdoslavova 399","Práznovce",95501,"obecprcz@mail.t-com.sk"
"Obecný úrad Žakovce","č. 55","Žakovce",5973,"obec.zakovce@stonline.sk"
"Matrika Rudina","č. 442","Rudina",2331,"matrika@rudina.sk"
"Obecný úrad Necpaly","č. 168","Necpaly",3812,"necpaly@necpaly.sk"
"Obecný úrad Tvrdomestice","č. 42","Tvrdomestice",95622,"obectvrdomestice@mail.t-com.sk"
"Obecný úrad Lascov","č. 11","Lascov",8645,"obec.lascov@stonline.sk"
"Obecný úrad Podrečany","č. 190","Podrečany",98555,"obec@podrecany.sk"
"Obecný úrad Veľký Slavkov","kpt. Morávku 118","Veľký Slavkov",5991,"slavkov@stonline.sk"
"Sociálna poisťovňa, pobočka Považská Bystrica","M. Kukučína 208/23","Považská Bystrica",1753,"povazskabystrica@socpoist.sk"
"Obecný úrad Kožuchov","Hlavná 62","Kožuchov",7601,"obec.kozuchov@centrum.sk"
"Obvodný úrad pre cestnú dopravu a pozemné komunikácie Košice","Hroncova 13","Košice - Sever",4278,"oudke@ke.kud.gov.sk"
"Obecný úrad Lipovce","č. 92","Lipovce",8236,"obeclipovce@mail.t-com.sk"
"Obecný úrad Liptovské Beharovce","č. 9","Liptovské Beharovce",3221,"bojec@szm.sk"
"Trenčianska univerzita A. Dubčeka, Univerzitná knižnica ","Študenstská 2","Trenčín",91150,"rehusova@tnuni.sk"
"Obecný úrad Ulič","č. 89","Ulič",6767,"obeculic@stonline.sk"
"Obecný úrad Kostolec","č. 42","Kostolec",1705,"oukostolec@atlas.sk"
"Obecný úrad Pliešovce","Hviezdoslavova 1","Pliešovce",96263,"sykora@pliesovce.sk"
"Obecný úrad Bzince pod Javorinou","č. 348","Bzince pod Javorinou",91611,"bahnik@obecbzince.sk"
"Obecný úrad Plavnica","č. 121","Plavnica",6545,"obec@obecplavnica.sk"
"Mestský úrad Humenné","Kukorelliho 34","Humenné",6628,"msu@humenne.sk"
"Obecný úrad Brezina","Brezová 151","Brezina",7612,"brezina@oubrezina.sk"
"Obecný úrad Lovčica - Trubín","č. 116","Lovčica - Trubín",96623,"starostalt@stonline.sk"
"Mestský úrad Veľké Kapušany","Sídl. L. N. Tolstého 1","Veľké Kapušany",7901,"msu.kapusany@stonline.sk"
"Obecný úrad Hažlín","Hlavná 200","Hažlín",8614,"hazlin@pobox.sk"
"Obecný úrad Perín - Chym","Perín 180","Perín - Chym",4474,"ou-pch@euroweb.sk, obecperin@kid.sk"
"Obecný úrad Livina","č. 42","Livina",95632,"oculivina@szm.sk"
"Obecný úrad Široké","č. 118","Široké",8237,"obec@siroke.sk, siroke@siroke.sk"
"Obecný úrad Horná Mičiná","č. 74","Horná Mičiná",97401,"hornamicina@gmail.com, hornamicina@stonline.sk"
"Obecný úrad Mníchova Lehota","č. 90","Mníchova Lehota",91321,"mnichovalehota@stonline.sk"
"Obecný úrad Zbrojníky","č. 166","Zbrojníky",93555,"obecnyurad@zbrojniky.sk"
"Obecný úrad Veľké Kosihy","Hlavná 125","Veľké Kosihy",94621,"obec.vkosihy@stonline.sk, obecnyurad@velkekosihy.sk"
"Obecný úrad Jaklovce","Nová 464/81","Jaklovce",5561,"jaklovce@stonline.sk"
"Obecný úrad Veľký Kýr","Nám. sv. Jána 1","Veľký Kýr",94107,"starosta@velkykyr.eu"
"Mestský úrad Bardejov","Radničné nám. 16","Bardejov",8501,"mesto@bardejov.sk"
"Obecný úrad Bellova Ves","č. 75","Bellova Ves",93052,"obecbellova@stonline.sk"
"Obecný úrad Lubina","č. 49","Lubina",91612,"starosta@obeclubina.sk"
"Obecný úrad Trnovo","č. 37","Trnovo",3841,"trnovo@stonline.sk"
"Matrika Golianovo","č. 400","Golianovo",95108,"golianovo@post.sk"
"Obecný úrad Kláštor pod Znievom","M. Čulena 181","Kláštor pod Znievom",3843,"klastorpzn@stonline.sk"
"Matrika Jaklovce","Nová 464   ","Jaklovce",5561,"jaklovce@stonline.sk"
"Obecný úrad Rabča","Hlavná 426","Rabča",2944,"rabca@rabca.sk, ourabca@orava.sk"
"Mestský úrad Snina","Strojárska 2060/95","Snina",6901,"primator.snina@snina.sk"
"Obecný úrad Šurianky","č.54","Šurianky",95126,"ousurianky@stonline.sk"
"Matrika Poniky","Malá Stráňa 32","Poniky",97633,"ouponiky@poniky.sk"
"Obecný úrad Žarnov","č. 85","Žarnov",4402,"obecnyurad.zarnov@stonline.sk"
"Obecný úrad Donovaly","č. 3 ","Donovaly",97639,"obec@donovaly.sk"
"Obecný úrad Pribeník","S. Petőfiho 276","Pribeník",7651,"obecpribenik@stonline.sk"
"Obecný úrad Píla","č. 174","Píla",98553,"ingmido@post.sk"
"Obecný úrad Radôstka","č. 51","Radôstka",2304,"ou_radostka@stonline.sk"
"Matrika Horný Vadičov","č. 160","Horný Vadičov",2345,"ocuhornyvadicov@stonline.sk"
"Obecný úrad Bodružal","Bodružal","Bodružal",9005,"ZeliP@zoznam.sk "
"Obecný úrad Ohradzany","č. 164","Ohradzany",6722,"obecohradzany@pobox.sk"
"Matrika Liptovské Revúce","Stredná 386","Liptovské Revúce",3474,"revuce@stonline.sk"
"Matrika Dolné Lovčice","SNP 69","Dolné Lovčice",91927,"ocudolnelovcice@stonline.sk"
"Obecný úrad Jablonec","č. 206","Jablonec",90086,"jablonec@golemtech.sk"
"Obecný úrad Vasiľov","č. 99","Vasiľov",2951,"ouvasilov@orava.sk"
"Obecný úrad Tupá","č. 113","Tupá",93584,"obectupa@maxnet.sk"
"Matrika Olešná","č. 493","Olešná",2352,"urad@obecolesna.sk"
"Mestský úrad Kráľovský Chlmec","L. Kossutha 99","Kráľovský Chlmec",7713,"mesto@kralovskychlmec.sk"
"Mestský úrad Lučenec","Novohradská 1","Lučenec",98401,"mesto@lucenec.sk"
"Obecný úrad Malá Čalomija","č. 46","Malá Čalomija",99108,"m.hlacok@mail.t-com.sk"
"Matrika Slovenská Ľupča","Nám. SNP 13","Slovenská Ľupča",97613,"matrika@slovenskalupca.sk"
"Obecný úrad Ladmovce","Hlavná 46","Ladmovce",7634,"obecladmovce@zoznam.sk"
"Obecný úrad Lazany","č. 1/83","Lazany",97211,"obec@lazany.sk"
"Obecný úrad Zázrivá","Stred 409","Zázrivá",2705,"obeczazriva@stonline.sk"
"Obecný úrad Výborná","č. 12 ","Výborná",5902,"obecvyborna@stonline.sk"
"Obecný úrad České Brezovo","č. 97","České Brezovo",98503,"ceske.brezovo@stonline.sk"
"Obecný úrad Horná Mariková","Modlatín 357","Horná Mariková",1803,"obechornamarikova@stonline.sk"
"Obecný úrad Nemečky","č. 70","Nemečky",95622,"uhlarova@centrum.sk"
"Obecný úrad Hrkovce","č. 94","Hrkovce",93601,"hrkovceou@stonline.sk"
"Obecný úrad Mestisko","č. 6","Mestisko",9041,"mestisko@stonline.sk"
